R,G,B,A
130,70,1,255
130,70,1,255
129,69,1,255
128,68,1,255
128,68,1,255
127,67,1,255
126,67,1,255
125,66,1,255
125,66,1,255
124,65,1,255
123,65,1,255
122,64,1,255
122,64,1,255
121,63,2,255
120,62,2,255
119,62,2,255
119,61,2,255
118,61,2,255
117,60,2,255
117,60,2,255
116,59,2,255
115,59,2,255
114,58,2,255
114,58,2,255
113,57,2,255
112,56,2,255
111,56,2,255
111,55,2,255
110,55,2,255
109,54,2,255
108,54,2,255
108,53,2,255
107,53,2,255
106,52,2,255
106,52,3,255
105,51,3,255
104,51,3,255
104,50,3,255
103,50,3,255
102,50,3,255
102,49,4,255
101,49,4,255
101,49,4,255
100,48,4,255
99,48,4,255
99,48,5,255
98,47,5,255
97,47,5,255
97,47,5,255
96,46,5,255
96,46,6,255
95,46,6,255
94,45,6,255
94,45,6,255
93,45,6,255
92,44,6,255
92,44,7,255
91,44,7,255
91,43,7,255
90,43,7,255
89,43,7,255
89,42,8,255
88,42,8,255
87,42,8,255
87,41,8,255
86,41,8,255
86,41,9,255
85,40,9,255
84,40,9,255
84,39,9,255
83,39,9,255
82,39,9,255
82,38,10,255
81,38,10,255
81,38,10,255
80,37,10,255
79,37,10,255
79,37,11,255
78,36,11,255
77,36,11,255
77,36,11,255
76,35,11,255
76,35,12,255
75,35,12,255
74,34,12,255
74,34,12,255
73,34,12,255
72,33,12,255
72,33,13,255
71,33,13,255
71,32,13,255
70,32,13,255
69,32,13,255
69,31,14,255
68,31,14,255
67,31,14,255
67,30,14,255
66,30,14,255
